00:00:06.342 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|300ms
00:00:06.348 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":209980,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:00:36.237 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|193ms
00:00:36.238 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":180053,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:00:43.340 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api//tickle,200|189ms
00:00:43.587 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/iserver/auth/status,200|202ms
00:01:06.279 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|236ms
00:01:06.280 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":150034,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:01:36.245 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|203ms
00:01:36.247 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":120056,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:01:43.835 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api//tickle,200|187ms
00:01:44.089 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/iserver/auth/status,200|221ms
00:01:59.102 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|220ms
00:01:59.105 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "true"}
00:02:06.511 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|469ms
00:02:06.512 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":89903,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:02:36.281 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|239ms
00:02:36.282 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":60040,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:02:44.380 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api//tickle,200|243ms
00:02:44.593 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/iserver/auth/status,200|183ms
00:03:06.325 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|283ms
00:03:06.326 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":30004,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:03:36.326 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|284ms
00:03:36.328 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":0,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:03:44.843 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api//tickle,200|203ms
00:03:45.124 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/iserver/auth/status,200|245ms
00:04:06.241 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|199ms
00:04:06.244 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":570109,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:04:36.270 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|228ms
00:04:36.272 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":540116,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:04:45.495 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api//tickle,200|308ms
00:04:45.715 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/iserver/auth/status,200|189ms
00:05:06.308 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|266ms
00:05:06.311 DEBUG vert.x-eventloop-thread-0 ClientPortalService  : tickle {"session":"7a1e3c9cb8a24a876585f6b36588f72f","ssoExpires":510087,"collission":false,"userId":129452694,"hmds":{"error":"no bridge"},"iserver":{"authStatus":{"authenticated":true,"competing":false,"connected":true,"message":"","MAC":"98:F2:B3:23:AE:D0","serverInfo":{"serverName":"JifN17109","serverVersion":"Build 10.29.0m, Jul 22, 2024 6:00:04 PM"},"hardware_info":"28224386|98:F2:B3:23:AE:D0"}}}
00:05:36.274 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /v1/api/tickle,200|232ms
